ID	Phase	Task Name	Owner	Status	Priority	Start Date	Due Date	Completed	Days Left	Blocker	Notes	Dependencies
88	Phase 0: Reboot	Register domain (drinkpoptop.com or getpoptop.com)	Alex Munn	Not Started	High	2/6/2026	2/10/2026			Verify availability on Namecheap first
132	Phase 5: GTM	Draft influencer outreach template	Paul Giarrizzo	Not Started	Medium	7/31/2026	8/7/2026			Product seeding, affiliate, paid options	131
133	Phase 5: GTM	Send influencer outreach (first 20)	Paul Giarrizzo	Not Started	Medium	8/7/2026	8/14/2026			Start with micro-influencers	132
134	Phase 5: GTM	Create PR/media list (sports, lifestyle, local)	Paul Giarrizzo	Not Started	Medium	7/31/2026	8/7/2026			Local news, sports blogs, tailgate sites
135	Phase 5: GTM	Write press release for launch	Paul Giarrizzo	Not Started	Medium	8/14/2026	8/21/2026			Embargo until Sep 1	134
136	Phase 5: GTM	Send press release to media list	Paul Giarrizzo	Not Started	Medium	8/28/2026	9/1/2026			Coordinate with launch	135
137	Phase 5: GTM	Set up launch day email blast	Paul Giarrizzo	Not Started	High	8/21/2026	8/28/2026			To full waitlist
138	Phase 5: GTM	Plan launch week social media blitz	Paul Giarrizzo	Not Started	High	8/21/2026	8/28/2026			Daily posts, stories, engagement	130
139	Phase 5: GTM	Set up referral/affiliate program (optional)	Paul Giarrizzo	Not Started	Low	8/14/2026	8/28/2026			Shopify app like Refersion	108
140	Phase 5: GTM	Research paid ad strategy (Meta, Google)	Paul Giarrizzo	Not Started	Medium	8/7/2026	8/21/2026			Budget, targeting, creative needs
141	Phase 5: GTM	Create first paid ad campaign (Meta)	Paul Giarrizzo	Not Started	Medium	8/28/2026	9/7/2026			Retargeting waitlist + lookalikes	124,140
142	Phase 5: GTM	Research distributor landscape (beverage, tailgate, sporting goods)	Paul Giarrizzo	Not Started	Medium	6/19/2026	7/3/2026			Who distributes to target retailers
143	Phase 5: GTM	Identify 10-15 potential distributors	Paul Giarrizzo	Not Started	Medium	7/3/2026	7/17/2026			Regional + national options	142
144	Phase 5: GTM	Create distributor sell sheet / line sheet	Paul Giarrizzo	Not Started	Medium	7/17/2026	7/31/2026			Wholesale pricing, MOQs, terms
145	Phase 5: GTM	Draft distributor outreach email	Paul Giarrizzo	Not Started	Medium	7/31/2026	8/7/2026			Intro, product, opportunity	144
146	Phase 5: GTM	Send distributor outreach (first 5)	Paul Giarrizzo	Not Started	Medium	8/7/2026	8/14/2026			Start with regional	145
147	Phase 5: GTM	Set up wholesale pricing tier in Shopify	Paul Giarrizzo	Not Started	Low	8/14/2026	8/21/2026			Or use separate wholesale portal	108
148	Phase 5: GTM	Create distributor/wholesale terms document	Paul Giarrizzo	Not Started	Medium	7/31/2026	8/14/2026			Net terms, minimums, returns
149	Phase 6: Launch	Respond to distributor inquiries	Paul Giarrizzo	Not Started	Medium	9/1/2026	11/30/2026			Ongoing post-launch
150	Phase 6: Launch	Negotiate first distributor agreement	Paul Giarrizzo	Not Started	Medium	9/15/2026	10/15/2026			If interest received	149
151	Phase 6: Launch	Monthly P&L review in QBO	Paul Giarrizzo	Not Started	Medium	10/1/2026	11/30/2026			Ongoing monthly	101
152	Phase 6: Launch	Quarterly inventory reconciliation	Paul Giarrizzo	Not Started	Medium	10/1/2026	11/30/2026			QBO + 3PL sync	101
153	Phase 6: Launch	File quarterly sales tax returns	Paul Giarrizzo	Not Started	High	10/1/2026	10/15/2026			Varies by state	105
154	Phase 2: Brand	Research business license requirements (Indiana)	Paul Giarrizzo	Not Started	Medium	2/27/2026	3/10/2026			State + local	98
155	Phase 2: Brand	Obtain required business licenses	Paul Giarrizzo	Not Started	Medium	3/10/2026	3/24/2026			If needed	154
156	Phase 2: Brand	Set up Google Workspace (drinkpoptop.com email)	Paul Giarrizzo	Not Started	Medium	2/14/2026	2/21/2026			paul@drinkpoptop.com, info@, support@	88
157	Phase 5: GTM	Create customer service response templates	Paul Giarrizzo	Not Started	Medium	8/21/2026	8/28/2026			Common questions, order issues, returns
158	Phase 5: GTM	Set up Gorgias or Zendesk for customer service (optional)	Paul Giarrizzo	Not Started	Low	8/21/2026	8/28/2026			May not need until volume grows
